Date,Open,High,Low,Close,Adj Close,Volume
3/20/02,1860.280029,1861.790039,1832.869995,1832.869995,1832.869995,1554640000
3/21/02,1835.209961,1870.160034,1825.98999,1868.829956,1868.829956,1601590000
3/22/02,1865.180054,1873.319946,1848.150024,1851.390015,1851.390015,1504960000
3/25/02,1855.650024,1863.050049,1812.420044,1812.48999,1812.48999,1429310000
3/26/02,1808.869995,1843.959961,1807.469971,1824.170044,1824.170044,1662170000
3/27/02,1817.219971,1832.01001,1811.640015,1826.75,1826.75,1624230000
3/28/02,1836.25,1852.849976,1833.329956,1845.349976,1845.349976,1664900000
4/1/02,1834.589966,1865.369995,1817.25,1862.619995,1862.619995,1554790000
4/2/02,1836.030029,1839.369995,1804.400024,1804.400024,1804.400024,1701240000
4/3/02,1809.589966,1813.359985,1770.609985,1784.349976,1784.349976,1704190000
4/4/02,1776.530029,1800.829956,1770.160034,1789.75,1789.75,1731670000
4/5/02,1796.920044,1803.209961,1769.949951,1770.030029,1770.030029,1508100000
4/8/02,1741.099976,1786.400024,1733.839966,1785.869995,1785.869995,1599200000
4/9/02,1789.140015,1795.619995,1742.400024,1742.569946,1742.569946,1662760000
4/10/02,1751.569946,1772,1733.689941,1767.069946,1767.069946,1965420000
4/11/02,1757.01001,1762.280029,1724.150024,1725.23999,1725.23999,1707140000
4/12/02,1738.959961,1756.329956,1728.52002,1756.189941,1756.189941,1532480000
4/15/02,1761.949951,1769.040039,1740.609985,1753.780029,1753.780029,1327230000
4/16/02,1779.290039,1816.910034,1779.290039,1816.790039,1816.790039,1791490000
4/17/02,1829.579956,1832.01001,1804.650024,1810.670044,1810.670044,1931060000
4/18/02,1806.280029,1818.790039,1778.099976,1802.430054,1802.430054,1866140000
4/19/02,1816.349976,1816.619995,1795.27002,1796.829956,1796.829956,1681640000
4/22/02,1779.180054,1779.180054,1747.650024,1758.680054,1758.680054,1703120000
4/23/02,1757.920044,1762.939941,1723.930054,1730.290039,1730.290039,1957900000
4/24/02,1739.130005,1746.52002,1711.109985,1713.339966,1713.339966,1923230000
4/25/02,1705.800049,1724.01001,1697.27002,1713.699951,1713.699951,1971760000
4/26/02,1722.829956,1728.52002,1663.780029,1663.890015,1663.890015,1893790000
4/29/02,1668.52002,1678.560059,1640.969971,1656.930054,1656.930054,1842550000
4/30/02,1655.02002,1697.030029,1652.930054,1688.22998,1688.22998,2091610000
5/1/02,1683.76001,1687.560059,1643.23999,1677.530029,1677.530029,2189110000
5/2/02,1673.719971,1695.069946,1640.800049,1644.819946,1644.819946,2060340000
5/3/02,1643.170044,1643.869995,1605.969971,1613.030029,1613.030029,1990950000
5/6/02,1611.050049,1622.829956,1577.930054,1578.47998,1578.47998,1776080000
5/7/02,1589.579956,1594.569946,1560.290039,1573.819946,1573.819946,2139130000
5/8/02,1625.72998,1696.349976,1625.72998,1696.290039,1696.290039,2403240000
5/9/02,1684.439941,1692.579956,1650.459961,1650.48999,1650.48999,1788460000
5/10/02,1657.180054,1657.449951,1599.640015,1600.849976,1600.849976,1839130000
5/13/02,1611.26001,1653.099976,1602.599976,1652.540039,1652.540039,1648780000
5/14/02,1694.150024,1722.660034,1691.420044,1719.050049,1719.050049,2603120000
5/15/02,1705.449951,1759.329956,1694.339966,1725.560059,1725.560059,2266100000
5/16/02,1723.689941,1734.709961,1713.810059,1730.439941,1730.439941,1644660000
5/17/02,1745.170044,1754.219971,1723.060059,1741.390015,1741.390015,1648910000
5/20/02,1726.780029,1726.890015,1696.109985,1701.589966,1701.589966,1429300000
5/21/02,1708.569946,1717.930054,1660.219971,1664.180054,1664.180054,1660880000
5/22/02,1654.339966,1676.640015,1643.959961,1673.449951,1673.449951,1734730000
5/23/02,1678.420044,1697.77002,1651.890015,1697.630005,1697.630005,1762570000
5/24/02,1680.660034,1681.099976,1658.780029,1661.48999,1661.48999,1210890000
5/28/02,1670.349976,1671.349976,1632.75,1652.170044,1652.170044,1319250000
5/29/02,1639.27002,1644.290039,1624.310059,1624.390015,1624.390015,1418900000
5/30/02,1613.420044,1637.650024,1607.300049,1631.920044,1631.920044,1585850000
5/31/02,1641.099976,1651.469971,1615.619995,1615.72998,1615.72998,1682430000
6/3/02,1613.5,1621.5,1561.170044,1562.560059,1562.560059,1623120000
6/4/02,1559.25,1587.790039,1548.310059,1578.119995,1578.119995,1881400000
6/5/02,1580.060059,1595.420044,1563.550049,1595.26001,1595.26001,1632920000
6/6/02,1583.650024,1584.060059,1550.719971,1554.880005,1554.880005,1630260000
6/7/02,1500.150024,1549.170044,1495.810059,1535.47998,1535.47998,2111740000
6/10/02,1536.97998,1551.800049,1526.959961,1530.689941,1530.689941,1518260000
6/11/02,1542.160034,1547.5,1496.660034,1497.180054,1497.180054,1697040000
6/12/02,1491.359985,1519.160034,1474.560059,1519.119995,1519.119995,2057320000
6/13/02,1512.22998,1526.410034,1495.640015,1496.880005,1496.880005,1566910000
6/14/02,1471.969971,1507.01001,1445.439941,1504.73999,1504.73999,1827730000
6/17/02,1519.650024,1555.069946,1519.26001,1553.290039,1553.290039,1591840000
6/18/02,1544.189941,1567.98999,1542.77002,1542.959961,1542.959961,1589760000
6/19/02,1531.050049,1538.359985,1496.079956,1496.829956,1496.829956,1726700000
6/20/02,1494.800049,1503.01001,1461.589966,1464.75,1464.75,1709470000
6/21/02,1456.609985,1480.050049,1435.849976,1440.959961,1440.959961,1962900000
6/24/02,1429.560059,1476.560059,1414.689941,1460.339966,1460.339966,2050610000
6/25/02,1472.189941,1475.579956,1419.25,1423.98999,1423.98999,1880680000
6/26/02,1379.869995,1436.569946,1375.530029,1429.329956,1429.329956,2061740000
6/27/02,1446.369995,1459.410034,1412.959961,1459.199951,1459.199951,1942590000
6/28/02,1454.97998,1486.25,1454.709961,1463.209961,1463.209961,2575240000
7/1/02,1457.040039,1459.839966,1402.51001,1403.800049,1403.800049,2320650000
7/2/02,1395.369995,1396.25,1356.030029,1357.819946,1357.819946,2722550000
7/3/02,1348.609985,1380.380005,1336.060059,1380.170044,1380.170044,2661060000
7/5/02,1401.030029,1448.660034,1401.030029,1448.359985,1448.359985,1120960000
7/8/02,1439.849976,1452.560059,1401.280029,1405.609985,1405.609985,1708150000
7/9/02,1405.369995,1415.310059,1379.569946,1381.119995,1381.119995,1704220000
7/10/02,1396.670044,1396.949951,1345.219971,1346.01001,1346.01001,1846320000
7/11/02,1339.650024,1375.579956,1323.589966,1374.430054,1374.430054,2298330000
7/12/02,1391.300049,1402.449951,1363.109985,1373.5,1373.5,2009340000
7/15/02,1365.790039,1382.699951,1315.300049,1382.619995,1382.619995,2117700000
7/16/02,1371.910034,1407.589966,1364.880005,1375.26001,1375.26001,2379260000
7/17/02,1408.099976,1426.280029,1370.209961,1397.25,1397.25,2338390000
7/18/02,1390.410034,1395.290039,1356.800049,1356.949951,1356.949951,1842360000
7/19/02,1336.390015,1350.209961,1309.939941,1319.150024,1319.150024,2396800000
7/22/02,1309.839966,1332.099976,1272.459961,1282.650024,1282.650024,2014410000
7/23/02,1287.589966,1295.589966,1228.880005,1229.050049,1229.050049,2238890000
7/24/02,1203.880005,1290.400024,1192.420044,1290.22998,1290.22998,2167790000
7/25/02,1277.160034,1289.719971,1220.930054,1240.079956,1240.079956,2353210000
7/26/02,1250.719971,1264.670044,1234.459961,1262.119995,1262.119995,1691540000
7/29/02,1286.810059,1335.25,1286.540039,1335.25,1335.25,1944170000
7/30/02,1322.98999,1354.47998,1313.48999,1344.189941,1344.189941,1728270000
7/31/02,1331.819946,1335.790039,1307.01001,1328.26001,1328.26001,1633300000
8/1/02,1322.469971,1326.099976,1276.880005,1280,1280,1548860000
8/2/02,1279.099976,1282.060059,1235.569946,1247.920044,1247.920044,1419790000
8/5/02,1243.380005,1247.839966,1205.680054,1206.01001,1206.01001,1336720000
8/6/02,1224.800049,1279.569946,1224.800049,1259.550049,1259.550049,1535110000
8/7/02,1290.22998,1298.119995,1243.48999,1280.900024,1280.900024,1542880000
8/8/02,1278.339966,1316.52002,1263.310059,1316.52002,1316.52002,1523000000
8/9/02,1301.829956,1322.069946,1290.77002,1306.119995,1306.119995,1313750000
8/12/02,1293.880005,1311.430054,1286.910034,1306.839966,1306.839966,1054220000
8/13/02,1300.72998,1324.430054,1268.98999,1269.280029,1269.280029,1570660000
